price,averageRating,totalReviews,cat_harddrive,cat_flashdrive,cat_tv,cat_laptop,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,rating5,Label,Score
795000.0,4.0,9.0,0.15274546,0.23804055,0.38643283,0.22278118,0.054738376,0.106342696,0.09509305,0.15620907,0.042922437,0.15110368,0.099130616,0.0712373,0.051985167,0.17123762,1,0,0.3745
76900.0,4.0,14.0,0.024092793,0.87981457,0.060952965,0.03513968,0.05473666,0.14255327,0.058897544,0.12000536,0.042921092,0.15109897,0.09912631,0.1436591,0.051983535,0.13501814,0,0,0.371
26500.0,4.0,44.0,0.041620564,0.7923787,0.10529655,0.06070413,0.056793094,0.18548323,0.061110303,0.12451392,0.044533618,0.15677571,0.10285148,0.07391135,0.053936537,0.14009072,1,1,0.8326
5499000.0,4.0,994.0,0.024092963,0.037547033,0.90322,0.035139974,0.04632457,0.18191753,0.04984555,0.13216265,0.036328327,0.15897319,0.05323924,0.060331553,0.13598837,0.144889,1,1,0.8263
30550.0,2.0,4.0,0.15274546,0.23804055,0.38643283,0.22278118,0.056793146,0.11033462,0.09868326,0.124514036,0.04453366,0.15677586,0.10285181,0.07391142,0.053936586,0.1776656,0,0,0.7505
5499000.0,4.0,994.0,0.024092963,0.037547033,0.90322,0.035139974,0.12667528,0.110527195,0.07375869,0.12112029,0.06136298,0.2013775,0.048784774,0.08331334,0.06839942,0.10468053,0,0,0.4499
62000.0,4.0,32.0,0.15274546,0.23804055,0.38643283,0.22278118,0.059010312,0.11464201,0.06349607,0.12937498,0.046272226,0.24097969,0.067825675,0.07679687,0.056042235,0.1455599,1,1,0.8768
1220000.0,4.0,52.0,0.7493627,0.18280382,0.04304996,0.02478353,0.059010472,0.11464231,0.06349624,0.12937532,0.046272345,0.20193847,0.06782586,0.11583632,0.056042388,0.14556028,1,1,0.7671
1524900.0,3.0,13.0,0.024092799,0.037546635,0.90322083,0.035139684,0.059041504,0.1146787,0.063528955,0.1294086,0.08536089,0.16293474,0.06785683,0.0768339,0.09476053,0.14559537,0,0,0.6554
71500.0,4.0,17.0,0.030745717,0.84596795,0.07837129,0.044915076,0.056793038,0.110334404,0.06111024,0.12451379,0.044533573,0.1943503,0.10285161,0.07391127,0.05393648,0.17766526,1,1,0.8718
1249000.0,4.0,2575.0,0.019902203,0.031016048,0.920054,0.029027682,0.04937489,0.1285893,0.05312819,0.10825011,0.071366884,0.16896473,0.05675084,0.09691875,0.112209536,0.15444678,1,1,0.8931
77500.0,4.0,5013.0,0.15274546,0.23804055,0.38643283,0.22278118,0.05901081,0.11464296,0.0634966,0.16840984,0.046272613,0.20193961,0.06782625,0.076797515,0.05604271,0.14556111,0,1,0.7952
79000.0,4.0,785.0,0.030752048,0.84591687,0.078404635,0.044926442,0.049372643,0.1612485,0.053125773,0.14090966,0.03871496,0.23428582,0.056748264,0.09691827,0.046889316,0.121786796,1,1,0.846
67000.0,2.0,2.0,0.15274546,0.23804055,0.38643283,0.22278118,0.05831747,0.19184068,0.07109536,0.12605652,0.046276335,0.15991081,0.06706366,0.07806486,0.057163432,0.14421086,0,0,0.8856
35000.0,3.0,61.0,0.06541643,0.67367435,0.1654985,0.09541076,0.0640083,0.12435182,0.06887398,0.14033264,0.050191335,0.17669308,0.073570296,0.08330132,0.060788836,0.15788837,0,0,0.3852
1894900.0,4.0,228.0,0.04162063,0.06486225,0.83281285,0.060704254,0.059010334,0.11464205,0.06349609,0.12937503,0.04627224,0.16289635,0.106867135,0.0767969,0.056042258,0.18460163,1,1,0.922
3699000.0,4.0,113.0,0.15274546,0.23804055,0.38643283,0.22278118,0.05679304,0.11033441,0.061110243,0.124513805,0.044533577,0.19435024,0.102851614,0.07391128,0.053936485,0.17766528,1,1,0.9099
488000.0,3.0,14.0,0.11314554,0.8400179,0.029711697,0.017124826,0.05902044,0.114638016,0.0635063,0.1293627,0.046282668,0.16287729,0.067832656,0.07680641,0.056053456,0.22362009,1,0,0.3822
955000.0,4.0,6.0,0.16261654,0.68347657,0.03347317,0.12043367,0.08480447,0.16669244,0.054919995,0.111900985,0.073789954,0.17466323,0.058664825,0.066424325,0.048472915,0.1596669,1,0,0.3385
72300.0,3.0,153.0,0.15274546,0.23804055,0.38643283,0.22278118,0.05679315,0.11033463,0.061110362,0.19966136,0.044533662,0.19435069,0.0652773,0.07391143,0.05393659,0.14009087,0,0,0.8016
3299000.0,4.0,4340.0,0.01990218,0.031015988,0.9200542,0.029027639,0.049374346,0.12857531,0.053127605,0.10824892,0.07137175,0.26694858,0.089414954,0.06425667,0.046890933,0.12179095,1,1,0.9481
855000.0,4.0,34.0,0.019902874,0.031017652,0.92005056,0.029028874,0.05680168,0.1103511,0.061119534,0.1619617,0.04454036,0.15679923,0.06528708,0.07392251,0.053944696,0.2152721,1,1,0.8253
52223.0,4.0,70.0,0.06541662,0.101947084,0.7372251,0.095411144,0.05283138,0.13756783,0.056846883,0.1856926,0.0414291,0.18074733,0.060719974,0.10370385,0.05017535,0.13028571,1,1,0.7026
